14,BTF3,SRP14,HMGN1,ZFP36L2,VIM,EVL,TMEM66,LGALS1,HLA-DRA,LGALS1,TSPO,TSPO,LGALS1,ATP6V1G1,COMMD6,CD27,AES,LCK,NDUFB11,APRT,IFITM2,VAMP8,EIF4A1,SSR2,TSPO,FGFBP2,CTSW,CLIC1
15,TMEM66,EIF4A2,SELL,ATP6V1G1,HSPA8,GIMAP7,HLA-E,ATP5E,TYMP,HLA-DRA,PSAP,LAMTOR4,HLA-DRA,ST13,VIM,EIF3L,NOSIP,MYL12A,OST4,ALDOA,HSPA8,CRIP1,ALDOA,UBXN1,ZFP36L2,KLRB1,PRF1,ISG20
16,HLA-E,UBXN1,LAT,GIMAP1,C6ORF48,HNRNPA2B1,LCK,RPL41,TSPO,TYMP,EIF4A1,PSAP,TYMP,ENO1,DDX5,ALDOA,GPSM3,ITM2B,EIF3H,UBXN1,NOSIP,RPSAP58,GPSM3,AES,CD99,CLIC3,GSTP1,HLA-DMA
17,NOSIP,ATP5E,CCNI,MYL12B,EIF3L,VIM,CD27,HLA-DRA,LAMTOR4,LAMTOR4,COTL1,EMP3,TSPO,HNRNPA2B1,ARPC1B,EIF3H,MYL12B,FXYD5,PSMA7,S100A11,HCST,LGALS1,EIF3L,CD3D,TRAF3IP3,RAC2,SRGN,UQCRH
18,CD3E,ATP5O,ATP6V1G1,ATP5O,ZFP36L2,HSPA8,TXNIP,TYMP,PSAP,PSAP,KLF6,EIF4A1,LAMTOR4,PABPC1,NPM1,APRT,CNBP,TMEM66,ATP6V0E1,VAMP8,CALM1,COX5B,HSPA8,EIF4A1,UBE2D3,PLAC8,FCGR3A,HMGB1
19,PTPRCAP,GIMAP1,ATP5O,SRSF5,EIF3H,EIF3L,AES,TSPO,EIF4A1,KLF6,FOS,KLF6,PSAP,ITM2B,HSPA8,EIF4A1,HNRNPA2B1,MYL12B,S1PR4,CD48,MYL12B,ENO1,EIF4A2,ALDOA,BIN2,HOPX,ITGB2,LSP1
20,HLA-DRA,ST13,S100A11,EIF3E,PRF1,ZFAS1,CUTA,YBX1,TOMM7,TMEM66,RAC2,YBX1,COMMD6,SRP14,RHOG,PRF1,ZFAS1,CUTA,TSPO,PPIA,HSP90AA1,LAPTM5,OST4,ISG20,ATP5O,ISG20,SOD1,GIMAP7
21,RPL41,APRT,CIRBP,KLF2,CTSW,NFKBIA,SOD1,TMEM66,CD3D,CD3E,CLIC3,BTF3,CD3E,LY6E,ATP5E,CTSW,SRP14,SOD1,SRSF5,RARRES3,HLA-DMA,C6ORF48,TMA7,HINT1,RARRES3,C6ORF48,ZFAS1,VIM
22,LGALS1,COMMD6,ALDOA,ERP29,CLIC1,CIRBP,ZFAS1,HSPA8,BTG1,BTF3,KLRB1,PABPC1,PTPRCAP,CD48,GYPC,CLIC1,NFKBIA,ZFAS1,CXCR4,SRGN,ISG20,ATP5D,PRF1,C6ORF48,SOD1,HLA-DQB1,EIF3L,OST4
23,GSTP1,CNBP,DUSP1,TAGLN2,HOPX,COX7C,SSR2,CD3D,BTF3,HNRNPA1,PTPRCAP,HNRNPA1,TOMM7,VAMP8,LSP1,HOPX,COX7C,SNRPD2,RHOG,GSTP1,C6ORF48,VAMP2,CTSW,CLIC1,CD7,ZFAS1,APRT,EMP3
24,FCER1G,MYL12B,ARPC1B,COX7C,PLAC8,TSC22D3,COX6B1,CORO1A,HLA-E,MYL12A,FGFBP2,RPL22,CORO1A,S100A11,EIF3E,PLAC8,TSC22D3,SSR2,GYPC,PRF1,HLA-DQB1,ATP5O,CLIC1,HLA-DQB1,ZFAS1,TSC22D3,FOS,EIF3H
25,LST1,TAGLN2,CD99,ALDOA,RAC2,MS4A1,FOS,BTF3,GLTSCR2,ITM2B,CD7,HLA-DQA2,RPL36AL,ARPC2,PPIA,CLIC3,MS4A1,COX6B1,EIF3E,CTSW,ZFAS1,RARRES3,HOPX,ZFAS1,SNRPD2,MS4A1,GIMAP7,TMA7
26,HLA-DPB1,ENO1,CHCHD2,EIF4A1,CLIC3,RPL41,HSP90AA1,CD52,EEF1B2,HLA-E,ARPC2,LAPTM5,DDX5,SNRPD2,KLF2,KLRB1,RPL41,FOS,EVL,HOPX,NFKBIA,CUTA,PLAC8,EDF1,COX6B1,EEF2,VIM,S100A4
27,HLA-DRB5,EIF4A1,RAC2,CHCHD2,KLRB1,DUSP1,MZT2B,HLA-E,PTPRCAP,BTG1,CALM1,NPM1,HNRNPA1,ARPC3,ERP29,FGFBP2,DUSP1,PNRC1,PPIA,PLAC8,TSC22D3,SOD1,CLIC3,NFKBIA,FOS,HLA-DQA2,MZT2B,CALM1
28,GPX1,NAP1L1,SSR2,CIRBP,FGFBP2,HLA-DQA2,OST4,EEF1B2,LDHB,EEF2,GZMB,HLA-DQA1,LTB,UBXN1,COX7C,ARPC2,HLA-DQA2,PPIA,TXNIP,CLIC3,MS4A1,CD7,KLRB1,TSC22D3,PNRC1,LAPTM5,EIF3H,NOSIP
29,AIF1,HMGB1,HCST,SSR2,GZMB,LAPTM5,CHCHD2,HNRNPA1,NPM1,EEF1B2,HLA-E,BTG1,NPM1,DUSP1,EIF4A2,ATP5E,LAPTM5,HSP90AA1,KLF2,KLRB1,HLA-DQA2,ZFAS1,FGFBP2,MS4A1,EDF1,HLA-DQA1,EEF2,GPSM3
30,LYZ,IL2RG,MZT2B,VAMP2,S100A4,HLA-DQA1,EMP3,LDHB,CORO1A,CORO1A,CCL5,PTPRCAP,IL32,CD99,ARPC2,GZMB,HLA-DQA1,MZT2B,ERP29,FGFBP2,LAPTM5,EIF3L,CD7,HLA-DQA2,HINT1,HLA-DRB5,NOSIP,RAC2
31,CD74,CHCHD2,COX7C,LAPTM5,CCL5,CYBA,S100A4,MYL12A,HNRNPA1,JUN,IFITM2,ARHGDIB,PABPC1,SSR2,ARPC3,CCL5,ARPC3,OST4,CD27,CD7,HLA-DQA1,COX6B1,GZMB,HLA-DQA1,GIMAP7,CD79B,GPSM3,CD8B
32,CST3,S100A6,EMP3,S100A6,FCER1G,HLA-DRB5,RAC2,DDX5,MYL12A,LDHB,ARHGDIB,GLTSCR2,CD3D,HCST,SRP14,IFITM2,HLA-DRB5,SRP14,TAGLN2,GZMB,HLA-DRB5,FOS,CCL5,HLA-DRB5,HSP90AA1,CD52,CD8B,LDHB
33,S100A6,ALDOA,C19ORF43,EMP3,GZMA,CD79B,CD8B,EEF2,RPL22,PABPC1,MYL12A,EEF1B2,BTG1,MZT2B,UBXN1,FCER1G,CD79B,ATP5E,LCK,CCL5,CD79B,PNRC1,FCER1G,CD79B,MZT2B,CD79A,LDHB,HCST
34,TYROBP,ARPC1B,CYBA,S100A10,CST7,CD79A,HCST,NPM1,RPL36AL,CD52,GZMA,CD79B,BTF3,COX7C,SSR2,GZMA,CD79A,ARPC2,EIF3L,FCER1G,CD79A,PPIA,GZMA,CD79A,OST4,HLA-DPA1,GYPC,GYPC
35,CYBA,S100A4,S100A10,CYBA,TYROBP,HLA-DPA1,COX7C,PABPC1,ARHGDIB,IL32,CST7,CD52,RPL22,IFITM2,VAMP2,CST7,HLA-DPA1,CD8B,EIF4A1,GZMA,HLA-DPA1,GIMAP7,CST7,HLA-DPA1,EIF3H,HLA-DPB1,CD3E,S100A6
36,HLA-DRB1,RAC2,RPL41,RAC2,HCST,HLA-DPB1,S100A6,ARHGDIB,IL32,GLTSCR2,RPL5,CD79A,CD52,C19ORF43,LAPTM5,TYROBP,HLA-DPB1,HCST,VAMP2,CST7,HLA-DPB1,HSP90AA1,TYROBP,HLA-DPB1,TMA7,LTB,LTB,ACTG1
37,S100A4,IL32,S100A6,DUSP1,CYBA,HLA-DRB1,CYBA,GLTSCR2,CD52,ARHGDIB,HCST,RPL5,EEF1B2,S100A10,CCNI,HCST,HLA-DRB1,GYPC,LAPTM5,TYROBP,HLA-DRB1,SRSF5,HCST,HLA-DRB1,NOSIP,HLA-DRB1,IL32,CD3E
38,S100A8,EMP3,IL32,S100A4,NKG7,HLA-DRA,RPL41,LTB,LTB,LTB,NKG7,CD37,ARHGDIB,ATP5E,S100A10,NKG7,HLA-DRA,COX7C,CCNI,NKG7,HLA-DRA,CD8B,NKG7,HLA-DRA,CD8B,HLA-DRA,CD3D,IL32
39,S100A9,CYBA,S100A4,IL32,GNLY,CD74,IL32,RPL5,RPL5,RPL5,GNLY,LTB,RPL5,RPL41,DUSP1,GNLY,CD74,RPL41,CNBP,GNLY,CD74,GYPC,GNLY,CD74,HCST,CD74,CD52,CD3D
